event_name,date_location,attendees,goals,source_url,primary_industry,secondary_industry,event_type,featured,company_stages
PythonPH - Regular Meetups & Trainings,Metro Manila - Recurring,"Python developers, Data scientists, Technical founders","Python skill development, Networking",https://python.ph/,Technology,,Networking,false,Exploring Solutions
GDG Cloud Manila x AI Pilipinas International Women's Day Event 2025,Taguig - 20 Mar 2025,"Developers, AI practitioners, Tech professionals","Women in tech, Cloud and AI discussions, Networking",https://gdg.community.dev/events/details/google-gdg-cloud-manila-presents-gdg-cloud-manila-x-ai-pilipinas-international-womens-day-event-2025/,Technology,,Networking,false,Exploring Solutions
AI Pilipinas - Regular Meetups,Metro Manila - Recurring,"AI researchers, Data scientists, ML engineers","AI advancements, Networking",https://www.facebook.com/AIPilipinas/,Technology,,Networking,false,Exploring Solutions
Philippine Startup Week 2025 (PHSW25),Taguig - Nov 2025,"Founders, Investors, Government officials, Developers","Networking, Innovation, Ecosystem growth",https://www.phstartupweek.com/,Technology,,Conference,true,Exploring Solutions
Graphika Manila 2025,Pasay City - 1–2 Mar 2025,"Designers, Animators, Creative directors, Founders","Creative inspiration, Networking",https://www.graphikamanila.com/,Technology,,Conference,true,Exploring Solutions
FoFPH x PWDO x UXPH: Figma Slides Party,Taguig - 21 Mar 2025,"UI/UX designers, Web designers, Developers","Design discussions, Networking",https://www.uxph.org/events/fofph-x-pwdo-x-uxph-figma-slides-party,Technology,,Networking,false,Exploring Solutions
UXPH Conference 2025,Metro Manila - Nov 2025,"UX designers, Product managers, Technical founders","UX design, Product development, Networking",https://www.uxph.org/,Technology,,Conference,true,Exploring Solutions
Modern AI-Driven Leadership Models @ Manila,Philippines,Manila - 30 Jun 2025,"Founders, Executives, Managers","AI-driven leadership, Strategic insights",https://www.eventbrite.com/e/modern-ai-driven-leadership-models-manila-philippines-tickets-888979316987,Technology,,Workshop,false
[Invite-Only] Tarro After Hours: A Private Networking Mixer,Bonifacio High Street - 10 Jul 2025,"Founders, Investors, Professionals","Networking, Relationship building",https://www.eventbrite.com/e/invite-only-tarro-after-hours-a-private-networking-mixer-tickets-927924789537,Technology,,Networking,false,Exploring Solutions
17th Philippine SME Business Expo 2025,Manila - 28 Nov 2025,"SME owners, Entrepreneurs, Founders","Networking, Business growth",https://www.eventbrite.com/e/17th-philippine-sme-business-expo-2025-tickets-868972156847,Technology,,Expo,true,Planning Transformation
LogiSYM Philippines 2025,Manila - 17 Sep 2025,"Logistics professionals, E-commerce founders","Logistics innovation, Supply chain optimization",https://www.eventbrite.com/e/logisym-philippines-2025-tickets-862879590897,Retail & E-commerce,Technology,Conference,true,Planning Transformation
GLOBAL INVESTMENT: DAY SESSION,Manila - 27 Jun 2025,"Investors, Founders, Entrepreneurs","Investment opportunities, Networking",https://www.eventbrite.com/e/global-investment-day-session-tickets-923833442857,Technology,,Networking,false,Exploring Solutions
GLOBAL INVESTMENT: EVENING SESSION,Manila - 27 Jun 2025,"Investors, Founders, Entrepreneurs","Investment opportunities, Networking",https://www.eventbrite.com/e/global-investment-evening-session-tickets-923835699607,Technology,,Networking,false,Exploring Solutions
Fundraising Party - Manila,Manila - 5 Jul 2025,"Founders, Investors, Entrepreneurs","Fundraising, Networking",https://www.eventbrite.com/e/fundraising-party-manila-tickets-908584855597,Technology,,Networking,false,Exploring Solutions
Work in Europe / Sweden - Jobs,Talent Visa and EU Blue Card - MNL,Quezon City - Jul 2025,"Founders, Professionals, HR managers","International job opportunities, Talent acquisition",https://www.eventbrite.com/e/work-in-europe-sweden-jobs-talent-visa-and-eu-blue-card-mnl-tickets-923838507987,Technology,,Workshop,false
National C.E.P.S. Certified Event Planning Specialist Masterclass Summit,Manila - 25 Jul 2025,"Event planners, Founders, Professionals","Event planning skills, Networking",https://www.eventbrite.com/e/national-ceps-certified-event-planning-specialist-masterclass-summit-tickets-897394334337,Technology,,Workshop,false,Exploring Solutions
International Conference on Geospatial Big Data for Urban Studies (ICGBDUS),Manila - 24 Jul 2025,"Urban planners, Data scientists","Geospatial data analysis, Urban development",https://internationalconferencealerts.com/eventdetails.php?id=3013500,Technology,Government & Public Sector,Conference,false,Exploring Solutions
International Conference on Recent Advance in Engineering and Technology (ICRAET),Manila - 17 Sep 2025,"Engineers, Technology managers","Technology advancements, Engineering solutions",https://internationalconferencealerts.com/eventdetails.php?id=3159133,Technology,,Conference,false,Exploring Solutions
International Conference on Mechanical,Aerospace and Systems Engineering (ICMASE),Manila - 18 Jul 2025,"Engineers, Aerospace professionals","Aerospace technology, Systems engineering",https://internationalconferencealerts.com/eventdetails.php?id=3031182,Technology,,Conference,false
International Conference on Aerospace Sciences and Aviation Technology (ICASAT),Manila - 21 Jul 2025,"Aviation professionals, Engineers","Aerospace innovation, Technology adoption",https://internationalconferencealerts.com/eventdetails.php?id=3016757,Technology,,Conference,false,Exploring Solutions
International Conference on Aerospace and Aviation Engineering (ICAAE),Manila - 1 Sep 2025,"Aviation engineers, Technology managers","Aviation engineering, Innovation",https://internationalconferencealerts.com/eventdetails.php?id=3155351,Technology,,Conference,false,Exploring Solutions
International Conference on Mechanical,Aeronautical and Automotive Engineering (ICMAAE),Davao City - 1 Sep 2025,"Engineers, Automotive professionals","Mechanical engineering, Innovation",https://internationalconferencealerts.com/eventdetails.php?id=3168172,Technology,,Conference,false
International Conference on Mechanical,Aerospace Technology and Materials Application (ICMATMA),Manila - 22 Sep 2025,"Engineers, Materials scientists","Aerospace technology, Materials application",https://internationalconferencealerts.com/eventdetails.php?id=3171794,Technology,,Conference,false
International Conference on Aeronautical and Astronautical Engineering (ICOAAE),Manila - 25 Oct 2025,"Aerospace engineers, Researchers","Aeronautical engineering, Innovation",https://internationalconferencealerts.com/eventdetails.php?id=3221477,Technology,,Conference,false,Exploring Solutions
International Conference on Aerospace and Aviation Engineering (ICAAE),Manila - 17 Nov 2025,"Aviation engineers, Technology managers","Aviation engineering, Innovation",https://internationalconferencealerts.com/eventdetails.php?id=3266161,Technology,,Conference,false,Exploring Solutions
International Conference on Mechanical,Aerospace and Systems Engineering (ICMASE),Manila - 21 Nov 2025,"Engineers, Aerospace professionals","Aerospace technology, Systems engineering",https://internationalconferencealerts.com/eventdetails.php?id=3257077,Technology,,Conference,false
International Conference on Aeronautical and Astronautical Engineering (ICOAAE),Manila - 1 Dec 2025,"Aerospace engineers, Researchers","Aeronautical engineering, Innovation",https://internationalconferencealerts.com/eventdetails.php?id=3302723,Technology,,Conference,false,Exploring Solutions
International Conference on Aerospace Systems and Avionics (ICASA),Manila - 22 Dec 2025,"Avionics engineers, Technology managers","Avionics systems, Technology adoption",https://internationalconferencealerts.com/eventdetails.php?id=3312505,Technology,,Conference,false,Exploring Solutions
International Conference on Enterprise Architecture and Agile Development (ICEAAD),Manila - 26 Aug 2025,"IT architects, Developers","Agile development, Enterprise architecture",https://internationalconferencealerts.com/eventdetails.php?id=3045462,Technology,,Conference,false,Exploring Solutions
International Conference on Computer Architecture and Microarchitecture Design (ICCAMD),Manila - 4 Nov 2025,"Computer architects, IT professionals","Computer architecture, Design innovation",https://internationalconferencealerts.com/eventdetails.php?id=3261727,Technology,,Conference,false,Exploring Solutions
International Conference on Machine Learning in Architecture (ICMLA),Manila - 30 Dec 2025,"Data scientists, Architects","Machine learning, Architectural design",https://internationalconferencealerts.com/eventdetails.php?id=3280936,Technology,,Conference,false,Exploring Solutions
International Conference on Bioinformatics and Molecular Biology (ICBMB),Quezon City - 10 Jul 2025,"Bioinformaticians, Researchers","Bioinformatics, Molecular biology",https://internationalconferencealerts.com/eventdetails.php?id=3014466,Technology,Healthcare,Conference,false,Exploring Solutions
International Conference on Bioinformatics,Biomedicine,Biotechnology and Computational Biology (ICBBBCB),Manila - 10 Jul 2025,"Researchers, Biotech professionals","Biomedicine, Computational biology",https://internationalconferencealerts.com/eventdetails.php?id=3328078,Technology,Healthcare,Conference
International Conference on Bioinformatics for Life Sciences and Technologies (ICBLST),Quezon City - 7 Aug 2025,"Bioinformaticians, Researchers","Bioinformatics, Life sciences",https://internationalconferencealerts.com/eventdetails.php?id=3325441,Technology,Healthcare,Conference,false,Exploring Solutions
International Conference on Bioinformatics and Computational Biology (ICOBCB),Manila - 7 Aug 2025,"Researchers, Biotech professionals","Computational biology, Bioinformatics",https://internationalconferencealerts.com/eventdetails.php?id=3079638,Technology,Healthcare,Conference,false,Exploring Solutions
International Conference on Cancer Bioinformatics (ICOCB),Manila - 4 Sep 2025,"Oncologists, Bioinformaticians","Cancer research, Bioinformatics",https://internationalconferencealerts.com/eventdetails.php?id=3162567,Technology,Healthcare,Conference,false,Exploring Solutions
International Conference on Bioinformatics for Life Sciences and Technologies (ICBLST),Quezon City - 4 Sep 2025,"Bioinformaticians, Researchers","Bioinformatics, Life sciences",https://internationalconferencealerts.com/eventdetails.php?id=3169586,Technology,Healthcare,Conference,false,Exploring Solutions
International Conference on Bioinformatics Applications in Life Sciences and Technologies (ICBALST),Manila - 21 Oct 2025,"Researchers, Biotech professionals","Bioinformatics applications, Technology",https://internationalconferencealerts.com/eventdetails.php?id=3103441,Technology,Healthcare,Conference,false,Exploring Solutions
International Conference on Proteomics and Bioinformatics (ICPB),Manila - 25 Oct 2025,"Bioinformaticians, Researchers","Proteomics, Bioinformatics",https://internationalconferencealerts.com/eventdetails.php?id=3218608,Technology,Healthcare,Conference,false,Exploring Solutions
International Conference on Bioinformatics and Computational Biology (ICOBCB),Manila - 6 Nov 2025,"Researchers, Biotech professionals","Computational biology, Bioinformatics",https://internationalconferencealerts.com/eventdetails.php?id=3261786,Technology,Healthcare,Conference,false,Exploring Solutions
International Conference on Control Engineering and Artificial Intelligence (ICCEAI),Bacolod City - 9 Jul 2025,"Engineers, AI researchers","Control systems, AI applications",https://internationalconferencealerts.com/eventdetails.php?id=3005767,Technology,,Conference,false,Exploring Solutions
International Conference on Knowledge Representation and Artificial Intelligence (ICKRAI),Manila - 9 Jul 2025,"AI researchers, Data scientists","Knowledge representation, AI development",https://internationalconferencealerts.com/eventdetails.php?id=2993597,Technology,,Conference,false,Exploring Solutions
International Conference on Behavioral Robotics and Artificial Intelligence (ICBRAI),Cebu City - 9 Jul 2025,"Robotics engineers, AI researchers","Behavioral robotics, AI applications",https://internationalconferencealerts.com/eventdetails.php?id=3328062,Technology,,Conference,false,Exploring Solutions
International Conference on Artificial Intelligence,Machine Learning and Soft Computing (ICAIMLSC),Cebu City - 6 Aug 2025,"AI researchers, Developers","Machine learning, Soft computing",https://internationalconferencealerts.com/eventdetails.php?id=3079591,Technology,,Conference,false
International Conference on Knowledge Representation and Artificial Intelligence (ICKRAI),Manila - 6 Aug 2025,"AI researchers, Data scientists","Knowledge representation, AI development",https://internationalconferencealerts.com/eventdetails.php?id=3067761,Technology,,Conference,false,Exploring Solutions
